"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\bulk-edit\BulkRelatedFilesEditor.tsx", "TypeScript JSX", 90, 0, 2, 8, 100
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\bulk-edit\BulkTagEditor.tsx", "TypeScript JSX", 48, 0, 2, 5, 55
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\BackupSettings.tsx", "TypeScript JSX", 251, 0, 8, 13, 272
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\CategorySettings.tsx", "TypeScript JSX", 267, 0, 7, 12, 286
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\CollectionsSettings.tsx", "TypeScript JSX", 219, 0, 26, 42, 287
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\ConfigSettings.tsx", "TypeScript JSX", 62, 0, 0, 8, 70
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\ExperimentalTab.tsx", "TypeScript JSX", 739, 0, 97, 64, 900
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\GeneralSettings.tsx", "TypeScript JSX", 642, 0, 23, 38, 703
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\IntegrationsSettings.tsx", "TypeScript JSX", 443, 0, 18, 46, 507
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\IntegritySettings.tsx", "TypeScript JSX", 516, 0, 18, 34, 568
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\settings\TagsTab.tsx", "TypeScript JSX", 278, 0, 8, 19, 305
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\shared\ConfirmDialog.tsx", "TypeScript JSX", 65, 0, 0, 5, 70
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\shared\ViewLayout.tsx", "TypeScript JSX", 39, 0, 3, 5, 47
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\accordion.tsx", "TypeScript JSX", 59, 0, 0, 8, 67
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 156, 0, 0, 15, 171
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\alert.tsx", "TypeScript JSX", 60, 0, 0, 7, 67
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 8, 0, 0, 4, 12
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\avatar.tsx", "TypeScript JSX", 47, 0, 0, 7, 54
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\badge.tsx", "TypeScript JSX", 41, 0, 0, 6, 47
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 99, 0, 0, 11, 110
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\button.tsx", "TypeScript JSX", 52, 0, 0, 6, 58
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\calendar.tsx", "TypeScript JSX", 71, 0, 0, 5, 76
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\card.tsx", "TypeScript JSX", 83, 0, 0, 10, 93
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\carousel.tsx", "TypeScript JSX", 214, 0, 0, 28, 242
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\chart.tsx", "TypeScript JSX", 315, 0, 2, 37, 354
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\checkbox.tsx", "TypeScript JSX", 28, 0, 0, 5, 33
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\collapsible.tsx", "TypeScript JSX", 28, 0, 0, 6, 34
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\command.tsx", "TypeScript JSX", 165, 0, 0, 13, 178
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\context-menu.tsx", "TypeScript JSX", 234, 0, 0, 19, 253
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\dialog.tsx", "TypeScript JSX", 126, 0, 0, 14, 140
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\drawer.tsx", "TypeScript JSX", 119, 0, 0, 14, 133
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 253, 0, 1, 19, 273
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\form.tsx", "TypeScript JSX", 144, 0, 0, 25, 169
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\hover-card.tsx", "TypeScript JSX", 38, 0, 0, 7, 45
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\input-otp.tsx", "TypeScript JSX", 69, 0, 0, 9, 78
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\input.tsx", "TypeScript JSX", 20, 0, 0, 5, 25
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\label.tsx", "TypeScript JSX", 20, 0, 0, 5, 25
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\menubar.tsx", "TypeScript JSX", 257, 0, 0, 20, 277
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 157, 0, 0, 12, 169
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\pagination.tsx", "TypeScript JSX", 117, 0, 0, 11, 128
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\popover.tsx", "TypeScript JSX", 41, 0, 0, 8, 49
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\progress.tsx", "TypeScript JSX", 24, 0, 0, 4, 28
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\radio-group.tsx", "TypeScript JSX", 40, 0, 0, 6, 46
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\resizable.tsx", "TypeScript JSX", 50, 0, 0, 7, 57
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\scroll-area.tsx", "TypeScript JSX", 62, 0, 2, 6, 70
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\select.tsx", "TypeScript JSX", 176, 0, 0, 14, 190
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\separator.tsx", "TypeScript JSX", 24, 0, 0, 5, 29
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\sheet.tsx", "TypeScript JSX", 135, 0, 7, 14, 156
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\sidebar.tsx", "TypeScript JSX", 660, 0, 12, 55, 727
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\skeleton.tsx", "TypeScript JSX", 11, 0, 0, 3, 14
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\slider.tsx", "TypeScript JSX", 77, 0, 1, 7, 85
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\sonner.tsx", "TypeScript JSX", 21, 0, 0, 5, 26
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\switch.tsx", "TypeScript JSX", 27, 0, 0, 5, 32
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\table.tsx", "TypeScript JSX", 105, 0, 0, 12, 117
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\tabs.tsx", "TypeScript JSX", 59, 0, 0, 8, 67
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\textarea.tsx", "TypeScript JSX", 15, 0, 0, 4, 19
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\toggle-group.tsx", "TypeScript JSX", 66, 0, 0, 8, 74
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\toggle.tsx", "TypeScript JSX", 42, 0, 0, 6, 48
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\tooltip.tsx", "TypeScript JSX", 58, 0, 3, 8, 69
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\use-mobile.ts", "TypeScript", 0, 17, 0, 5, 22
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\ui\utils.ts", "TypeScript", 0, 5, 0, 2, 7
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\views\CollectionView.tsx", "TypeScript JSX", 72, 0, 0, 4, 76
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\views\CollectionView_DB.tsx", "TypeScript JSX", 146, 0, 11, 10, 167
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\views\CollectionsView.tsx", "TypeScript JSX", 81, 0, 1, 6, 88
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\views\ModelsView.tsx", "TypeScript JSX", 55, 0, 0, 4, 59
"c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\components\views\ModelsView_DB.tsx", "TypeScript JSX", 114, 0, 5, 9, 128
"Total", "-", 20945, 22, 893, 2056, 23916
